abbreviation,japanese,english
COBS,慢性器質性脳症候群,Chronic Organic Brain Syndrome
CODE,シスプラチン、ビンクリスチン（オンコビン）、ドキソルビシン、エトポシドの併用化学療法（G-CSFと併用）,Cisplatin、Vincristine(Oncovin)、Doxorubicin、Etoposide
COHb,一酸化炭素ヘモグロビン,Carboxy Hemoglobin
COLD,慢性閉塞性肺疾患,Chronic Obstructive Lung Disease
COMPARDR,シクロホスファミド、ビンクリスチン（オンコビン）、メトトレキサート、メルファラン、ドキソルビシンの併用化学療法,Cyclophosphamide、Vincristine(Oncovin)、Methotrexate、Melphalan(L-PAM)、Doxorubicin(DXR)
conc、concd、concentr,濃度、濃厚、濃い,Concentrated、Concentratus
COP,膠質浸透圧、コロイド浸透圧,Cyclophaosphamide、Vincristine(Oncovin)、Prednisolone
COPD,慢性閉塞性肺疾患,Chronic Obstructive Pulmonary Disease
Cor TGA,修正大血管転位症,Corrected Transposition of Great Arteries
CP,口蓋裂,Cleft Palate
CPA,心肺停止,Cardiopulmonary Arrest
CPAOA,来院時心肺停止,Cardiopulmonary Arrest On Arrival
CPAP,持続陽圧呼吸,Continuous Positive Airway Pressure
CPB,人工心肺,Cardiopulmonary Bypass
CPCR,心肺脳蘇生,Cardiopulmonary Cerebral Resuscitation
CPD,連続的腹膜透析,Continuous Periotonael Dialysis
CPH,慢性持続性肝炎,Chronic Persistent Hepatitis
CPIP,未熟児慢性肺機能不全,Chronic Pulmonary Insufficiency of Prematurity
CPK,クレアチンホスホキナーゼ,Creatine Phosphokinase
CPK-BB,クレアチンホスホキナーゼBB(脳）型アイソザイム,Creatine Phosphokinase Brain Band
CPK-MB,クレアチンホスホキナーゼMB（筋）型アイソザイム,Creatine Phosphokinase Myocardial Band
CPK-MM,クレアチンホスホキナーゼMM（筋）型アイソザイム,Creatine Phosphokinase Muscle Band
CPN,慢性腎盂腎炎,Chronic Pyelonephritis
CPP,脳灌流圧,Cerebral Perfusion Pressure
CPPB,持続陽圧呼吸（法）,Continuous Positive Pressure Breathing
CPPV,持続陽圧換気（法）,Coctinuous Positive Pressure Ventilation
CPR,心肺蘇生(法）,Cardiopulmonary Resuscitation
CPS,大静脈肺動脈吻合(術),Cavopulmonary Shunt
CPU,中央演算処理装置,Central Processing Unit
CPV,(有効）循環血漿量,Circulating Plasma Volume
CR,非観血的整復,Closed Reduction
CRBBB,完全右脚ブロック,Complete Right Bundle Branch Block
CRC,濃厚赤血球,Concentrated Red Cells
Crea,クレアチニン,Creatinine Clearance
crep,捻髪音,Crepitus
CRP,C反応性蛋白,Carbon Reactive Protein
CRS,カテーテル敗血症,Catheter　Related　Sepsis
CS,冠状静脈洞,Coronary Sinus
CS、C/S,帝王切開（術）,Cesaresn Section
CS、Cs、cs,意識,Consciousness
CS(D)H,慢性硬膜下血腫,Chronic Subdural Hematoma
CSF,（脳脊）髄液,Cerebrospinal Fluid
CSM,頸椎症性脊髄症,Cervical Spondylotic Myelopathy
CSR,頸椎症性神経根症,Cervical Spondylotic Radiculopathy
CST,子宮収縮負荷テスト、コントラクションストレステスト,Contraction Stress Test
CT,全血凝固時間,Clotting Time
CT(scan),コンピューター断層撮影（法）、CTスキャン,Computed Tomography、Computerrized Tomography
CTG,胎児心拍陣痛図、分娩監視装置,Cardio-Tocogram
CTGA,修正大血管転位,Corrected Transposition of Great Arteries
CTR,心胸（郭）比（係数）,Cardiothoracic Ratio
CV,中心静脈,Central Vein
CVA,脳血管障害,Cerebral Vascular Accident
CVAC,心血管促進中枢,Cardiovascular Accelerating Center
CvCO2,混合静脈血二酸化炭素含量,Mixed Venous Carbon Dioxide Content
CVD,持続脳室ドレナージ,Continuous Ventricular Drainage
CVH,中心静脈栄養,Central Venous Hyperalimentation
CVP,中心静脈圧,Central Venous Pressure
CVR,脳血管抵抗,Cerebrovascular Resistance
CVVH,持続的静脈-静脈血液濾過,Continuos Veno-Venous Hemofiltration
CX,回旋枝,Circumflex Coronary Artery
CXR,胸部X線（写真）,Chest X-Ray
D,うつ病,Depression
D1,第１対角枝,First Diagonal Branch
D2,第２対角枝,Second Diagonal Branch
ｄ,密度、相対密度（比重）,Density
DAD,びまん性肺胞障害,Diffuse Alveolar Damage
DAT,アルツハイマー型痴呆,Demantia of the Alzheimer Type
DB,Ⅲ度熱傷、皮下熱傷,Deep Burn
ｄB,【デシベル】デシベル,Decibel
DBI,びまん性脳損傷,Diffuse Brain Injury
D-Bｉｌ,【ディービル】直接型ビリルビン,Direct Bilirubin
DBP,拡張期血圧,Diastolic Blood Pressure
DBS,脳深部電気刺激,Deep Brain Stimulation
DBT,二重盲検法,Double Blind Test(trial)
DC,直流,Direct Current
D&C,子宮内容除去（術）,Dilatation and Curettage
DCA,方向性冠状動脈粥腫切除（術）、アテレクトミー,Directional Coronary Atherectomy
DCG,ドップラー心エコー法,Doppler Cardiography
DCIA,深腸骨回旋動脈,Deep Circumflex Iliac Artery
DCM,拡張型心筋症,Dilated Cardiomyopathy
DCR,涙嚢鼻腔吻合（術）,Dacryocystorhinostomy
DCRV,右室二腔症,Duuble Chambered Right Ventricle
DDB,真皮深層熱傷,Deep Dermal Burn
DDD,心房同期型心室刺激および房室順次刺激、ユニバーサルペーシング,Double-Double-Double
desc Ao,【ディセンディング・エイオー】下行大動脈,Descending Aorta
DF,除細動,Defibrillation
DFPE,二重濾過血漿交換,Double Filtration Plasma Exchange
DFPP,二重濾過血漿分離,Double Filtration Plasmapheresis
DFS,十二指腸ファイバースコープ,Duodenofiberscope
DI,難産指数,Dystocia Index
DIC,点滴静注胆道造影（法）,Drip Infusion Cholangiography
DIE,突然死,Death In Emergency
dil(d)、dilut,【ディル】希薄の、薄い、希釈した,Dilutus、Diluted
DILV,左室性単心室,Double Inlet left Ventricle
DIRV,右室性単心室,Double Inlet Right Ventricle
DIS,医薬品情報サービス,Drug Information Service
dis,【ディス】疾病,Disease
DIU,点滴性尿路造影（法）,Drip Infusion Urography
DIV,点滴静脈注射,Drip Infusion In Vein
DK、DKA,糖尿病性ケトアシドーシス,Diabetic Ketoacidosis
DLco,一酸化炭素に対する肺拡散能力,Diffusing Capacity of the Lung for Carbon Monoxide
DLE,円板状ループスエリテマトーデス,Discoid Lupusu erythematosus
DLV,分別換気,Differential Lung Vntilation
DM,拡張期雑音,Diastolic murmur
DMD,デュシェンヌ型筋ジストロフィー,Duchenne Muscular Dystrophy
DMP,進行性筋ジストロフィー,Dystrophia musculorum progressiva（ラ）
DNR,蘇生法を行うな,Do Not Resuscitate
DOA,ドーパミン,Dopamine
DOC,【ドーク】意識障害,Disturbance Of Consciousness
DOLV,両大血管左室起始（症）,Double-Outlet Left Ventricle
DORV,両大血管右室起始（症）,Double-Outlet Right Ventricle
DP,足背動脈,Dorsalis Pedis(Artery)
DR,糖尿病性網膜症,Diabetic Retinopathy
DS,ダンピング症候群,Dumping Syndrome
DSA,デジタルサブトラクション血管造影（法）,Digital Subtraction angiography
DTH,遅延型過敏症,Delayed-Type Hypersensitivity
DTP,ジフテリア・破傷風・百日咳の予防注射液,Diphtheria、Tetanus、Pertussis
DU,十二指腸潰瘍,Duodenal Ulcer
DUB,機能性子宮出血,Dysfunctional Uterine bleedinng
DUD,排尿筋・尿道協調不全,Detrusor Urethral Dyssynergia
DVR,２弁置換,Double Valve Replacement
DW、D/W,蒸留水,Distilled Watar
DWI,酒酔い運転,Driving While Intoxicated
Dx,診断,Diagnosis
E,エピネフリン,Epinephrine
E0～2,胸水の程度を示す記号,
E1,エストロン,Estrone
E1～4,肝癌占拠率を示す記号,
E2,エストラジオール,Estradiol
E3,エストリオール,Estriol
E4,エステトロール,Estetrol
γE,免疫グロブリンE,gamma E
EA,環境影響評価,Environmental Assessment
EAA,外因性過敏性肺臓炎,Extrinsic Allergic Alveolitis
EAC,外耳道,External Auditory Canal
EACD,湿疹状アレルギー性接触皮膚炎,Eczematous Allergic contact dermatitis
EAEC,腸管付着性大腸菌,Enteroadherent Escherichia coli
EAM,外耳道,External Auditory Meatus
EAP,エトポシド、ドキソルビシン（アドリアシン）、シスプラチンの併用化学療法,Etoposide、Doxorubicin(Adriacin)、Cisplatin(CDDP)
EB,Ⅰ度熱傷、表皮熱傷,Epidermal Burn
EBA,肝外胆道閉鎖症,Extrahepatic Biliary Atresia
EBD,栄養障害性表皮水疱症,Epidermolysis Bullosa Dystophica（ラ）
EBNA,【エブナー】EB（エプシュタイン・バー）ウィルス関連核抗原,Epistein-Barr virus associated Nuclear Antigen
EBS,単純性表皮水疱症,Epidermolysis Bullosa Simplex（ラ）
EBV,EB（エプシュタイン・バー）ウィルス,Epstein-Barr Virus
EC,エステル型コレステロール,Esterified Cholesterol
E-C,食道噴門接合部,Esophagocardial(junction)
ECA,外頸動脈,External Carotid Artery
ECC,緊急心疾患治療,Emergency Cardiac Care
ECCE,（白内障）嚢外摘出（術）,Extracapsular Cataract Extraction
ECCO2R,【エコール】体外二酸化炭素除去法,Extracorporeal CO2 Removal
ECCU,緊急心疾患治療室,Emergency Cardiac Care　Unit
ECD,角膜内皮変性症,Endothelial Corneal Dystrophy
ECF,細胞外液,Extracellular Fluid
ECG,心電図,Electrocardiogram
Echo,【エコー】超音波検査,Echography
EC-IC,頭蓋内-（頭蓋）外バイパス術,Extracranial-Intracranial(bypass)
ECLA,【エクラ】体外式肺補助,Extracorporeal lung assist
ECM,細胞外基質,Extracellular matrix
ECMO,【エクモ】（体外式）膜型人工肺,Extracorporeal Membrane Oxygenator
ECoG,皮質脳波,Electrocorticogram
E coli,【イーコライ】大腸菌,Esherichia coli
ECP,骨髄性コプロポルフィリン症,Erythropoietic Coproporphyria
ECRB,短橈側手根伸筋,（musculus)Extensor carpi Radialis Brevis（ラ）
ECRL,長橈側手根伸筋,（musculus)Extensor carpi Radialis longus（ラ）
ECS,電気的脳無活動,Electrocerebral Silence
ECSWL,体外衝撃波砕石術,Extracorpoereal shock weve lithotripsy
ECSWS,徐波睡眠時に持続性棘徐波を示すてんかん,Epilepsy with Continuous spike-waves during Slow Wave Sleep
ECU,【エキュ】尺側手根伸筋,（musculus)Extensor Carpi ulnaris(ラ）
ECUM,【イーカム】体外限外濾過法,Extracorporeal Ultrafiltration Method
ECV,骨盤位外回転術,External cephalic Version
ECW,細胞外水分,Extracellular water
ED,拡張終（末）期,Enddiastole
EDA,皮膚電位,Electrodermal Activity
EDAMS,脳硬膜動脈筋血管癒合（術）,Encephaloduro-Arterio-Myo-Synangiosis
EDAS,【イーダス】脳硬膜動脈血管癒合（術）,Encephalo-Duro-Arterio-Myo-Synangiosis
EDC,総指伸筋,(musculus)Extensor Digitorum Communis（ラ）
EDH,硬膜外血腫,Epidural Hematoma
EDL,長趾伸筋,(musculus)Extensor Digitorum Longus（ラ）
EDM,小指伸筋,(musculus)Extensor Digiti minimi
EDP,拡張終（末）期圧,End-Diastolic Pressure
EDQ,小指固有伸筋,(musculus)Extensor Digiti Quinti(ラ)
EDSP,内視鏡的二重係蹄ポリープ切除（術）,Endoscopic Double Snare Polypectomy
EDV,拡張終（末）期容積,End-Diastolic Volume
EDX,エンドキサン,Endoxan
E-E,端端（吻合）,End-to-End（anastomosis)
EEA,端端（吻合）,End-to-End　Anastomosis
EE(C）G,脳波、脳波記録、脳電図,Electroencephalogram
EEM,多形（滲出性）紅斑,Erythema Exsudativum Multiforme(ラ）
EEP,【イープ】終末呼気圧,End-Expiratory Pressure
EEV,全周性心内膜心筋切開術,Encircling Endocardial Ventriculotomy
EF,駆出率、駆出分画,Ejection Franction
EF(E),心内膜線維弾性症,Endocardial fibroalastosis
EFM,胎児監視装置,Electronic Fetal monitor
EF(B)W,推定胎児体重,Etimated Fetal (Body) Weight
EGC,早期胃癌,Early Gastric Cancer
EGJ,食道胃粘膜境界部,Esophagogastric Junction
EH,本態性高血圧症,Essential Hypertension
Eh,血性胸水,Hemorrhagic pleural Effusion
EHBA,肝外胆道閉鎖症,Extrahepatic Biliary Atresia
EHO,肝外門脈閉塞症,Extrahepatic Portal Occlusion
Ei,胸部下部食道,Esophagus、Thoracic Interior、Lower Intrathoracic Esophagus
EIA,運動誘発性喘息,Exercise-Induced Asthma
EIB,運動誘発(性)気管支攣縮,Exercise-Induced Bronchospasm
EIEE,サプレッション・バーストを伴う早期乳児てんかん性脳症,Early Infantile Epileptic Encephalopathy with Suppression Burst
EIM,興奮誘発物質,Excitability Inducing Material
EIP,吸気後吸気時間,End-Inspiratory Pause
EIS,内視鏡的硬化剤注入療法,Endoscopic Injection Sclerotherapy
EJ,肘反射,Elbow Jerks
EKC,流行性結膜炎,Epidemic Keratoconjunctivitis
EKG,心電図,
ELBW,超低出生体重児,Extremely Low Birth Weight
ELCA,エキシマレーザー冠状動脈形成術,Excimer Laser Coronary Angioplasty
ELM,外限界膜,External Limiting Membrane
EM,アイゼンメンゲル症候群,Eisenmenger(Syndrome)
Em,正視,Emmetropia
EMA-CP,エトポシド、メトトレキサート、ダクチノマイシン、（ロイコボリン）、シクロホスファミド、ビンクリスチン（オンコビン）の併用化学療法,Etoposide、Methotrexate、Dactinomycin(ACT-D)、(Leucovorin)、Cyclophosphamide、Vincristine(Oncovin)
EMC,脳心筋炎,Encephalomyocarditis
EME,早期ミオクロニー脳症,Early Myoclonic Encephalopathy
EMF,心内膜心筋線維症,Endomyocardial Fibrosis
EMG,筋電図,Electromyogram
EML,体外的微少発破砕石術,Extracorporeal Microexplosive Lithotripsy
Empy,副鼻腔蓄膿症,
empy,上顎洞炎,
EMR,内視鏡的粘膜切除(術）,Endoscopic Mucosal Resection
EMS,拡張式金属ステント,Expandable Metallic Stent
EMSS,救急医療システム,Emergency Medical Service System
EN,結節性紅斑,
EMBD,内視鏡的経鼻胆管ドレナージ,Endoscopic Nasobiliary Drainage
ENF,エンフルレン,Enfluren
ENT,エンテロトキシン,Enterotoxin
Ent,退院,
ENX,エノキサシン,Enoxacin
EOA,食道閉鎖式エアウェイ,Esophageal Obturator Airway
EOG,エチレンオキサイドガス（消毒法）,Ethylene Oxide Gas
EP,エストロゲン・プロゲステロン,Estrogen-Progesterone
EP,エリスロポエチン,Erythropoetin
Ep,上皮細胞,Epithelial(cell)
Ep(i),てんかん,Epilepsy
Ep(id),硬膜外麻酔,Epidural Anesthesia
ep,粘膜上皮内（癌）,Intraepithelium
EPAP,呼気気道陽圧,Expiratory Positive Airway Pressure
EPC,持続性部分てんかん,Epilepusia Partialis Continua
EPCG,内視鏡的膵胆管造影(法),Endoscopic Pancreato-Cholangiography
EPH,浮腫・蛋白尿・高血圧（妊娠中毒症),Edema/Proteinuria/Hypertension
EPI,エピルビシン,Epirubicin
Epi,硬膜外,Epidural
Epid,硬膜外麻酔,Epidural Anesthesia
EPL,内視鏡的膵石破砕（術）,Endoscopic Pancreatolithotripsy
EPO,エリスロポエチン,Erythropoetin
EPS,(心臓）電気生理学的検査,Electrophysiologic Study
EPT,内視鏡的乳頭切開(術）,Endoscopic Papillotomy
EQ,教育指数,Educational Quotient
ER,外旋,External Rotation
Er,びらん,Erosion
ERBD,内視鏡的逆行性胆管ドレナージ,Endoscopic Retrograde Biliary Drainage
ERBE,内視鏡的逆行性胆管内瘻術,Endoscopic Retrograde Biliary Endoprosthesis
ERBF,有効腎血流量,Effective Renal Blood Flow
ERC,呼気残気量,Expiratory Residual Capacity
ERCP,内視鏡的逆行性胆管膵管造影(法),Endoscopic Retrograde Cholangiopancreatography
ERGBD,内視鏡的逆行性胆嚢胆管ドレナージ,Endoscopic Retrograde Gall-Bladder and Bile Duct Drainage
ERP,心内膜切開（除）術,Endocardial Resection Procedure
ERPF,有効腎血漿流量,Effective Renal Plasma Flow
ERV,予備呼気量,Expiratory Reserve Volume
ES,収縮終（末）期,Endosytole
ES(T),電気ショック療法,Electric Shock(Thetapy)
Es,期外収縮,Extrasystole
ESB,脳電気刺激,Elestrical Stimulation to the Brain
ESHAP,エトポシド、メチルプレドニゾロン、高用シタラビン、シスプラチンの併用化学療法,Etoposide、Methylprednisolone、High Dose Cytarabine(Ara-C)、Cisplatin(CDDP)
ESM,駆出性収縮期雑音,Ejection Systolic Murmur
ESR,赤血球沈降速度,Erythrocyte Sedimentation Rate
ESRD,末期腎臓病,End-Stage Renal Disease
EST,電気ショック療法,Electric Shock Therapy
ESV,収縮末期容量,Endo-Systolic Volume
ESWL,体外衝撃波結石破砕術,Extracorporeal Shock-Wave Lithotripsy
ET,気管内挿管チューブ,Endotracheal(tube)
ET、Et,エンドトキシン,Endotoxin
Et-CPAP,気管内挿管による持続陽圧呼吸,Endotracheal Continuous Positive Airway Pressure
ETT,運動負荷試験,Exercise Tolerance Test
EUG,排泄性尿路造影（法）,Excretory Urography
EUS,外尿道括約筋,External Urethral Sphincter
EV,食道静脈瘤,Esophageal Varices
EVB,エトポシド、エノシタビン、ビンデシンの併用化学療法,Etoposide、Enocitabine(BHAC)、Vindesine
EVL,内視鏡的静脈瘤結紮術,Endoscopic Variceal Ligation
EVLW,血管外肺水分量,Extra Vascular Lung Water
Evs,内視鏡的食道静脈瘤硬化療法,Endoscopic Variceal Sclerotherapy
Ex,エンドトキシン,Endotoxin
Exog,外因の,Exogenous
Exp,呼気,Expiration
Ez,湿疹,Eczema
F,足,Foot
FXIII,フィブリン安定化因子,Fibrin Stabilizing Factor
ｆ,回数・周波数,Frequency
FA,応急手当、初期治療,First Aid
FAB,【ファブ】FAB分類（急性白血病の分類）,French-American-British cooperative group classification
FAC,フルオロウラシル、ドキソルビシン（アドリアシン）、シクロホスファミドの併用化学療法,Fliorouracil、doxorubicin(Adriacin)、Cyclophosphamide
FACO2,肺胞気二酸化炭素濃度,Alveolar CO2 Concentration
FAM,フルオロウラシル、ドキソルビシン（アドリアシン）、マイトマイシンCの併用化学療法,Fliorouracil、doxorubicin(Adriacin)、Mitomycin C
FAO2、FaO2,肺胞気酸素濃度,Alveolar O2 Concentration
FAS,【ファス】胎児アルコール症候群,Fetal Alcohol Syndrome
FB,異物,Foreign body
FBG,空腹時グルコース（値）,Fasting Blood Glucose
Fbg,フィブリン,Fibrin
FBS,気管支ファイバースコープ検査（法）,Fiberoptic Bronchoscopy
FC,熱性痙攣,Febrile Convulsion
5-FC,5-フルオロシトシン（フルシトシン）,five-Fluorocytosine(flucytosine)
FCH,家族性複合型高脂血症,Familial Combined Hyperlipidemia
FCL,外側側副靭帯,Fibular Collateral Ligament
FCR,橈側手根屈筋,（musculus)Flexor Carpi Radialis(ラ）
FCU,尺側手根屈筋,（musculus)Flexor Carpi Ulnaris(ラ）
FCｘ,前頭皮質,Frontal Cortex
FD,陰影欠損,Frontal Defect
FDH,巣状皮膚形成不全症候群,Focal Dermal Hypoplasia(syndrome)
FDP,フィブリン分解産物,Fibrin Degradation products
FDT,前頭右側横位（胎位）,Frontodextra Transversa（position)
FE,胎児エコー,Fetal Echo
Fe,鉄,Ferrum(ラ）
FECG,胎児心電図,Fetal Electrocardiogram
FECO2,呼気二酸化炭素濃度,Franction of Expired CO2 concentration
FEF,最大呼気流量,Forced Expiratory Flow
FEK,【フェク】カリウム排泄率,Franction of Excretion of K
FEL,【フェル】家族性赤血球貪食性リンパ細網症,Familial Erythrophagocytic Lymphohistiocytosis
FEM,フルオロウラシル、エピルビシン、マイトマイシンCの併用化学療法,Fluorouracil、Epirubicin、Mitomycin C
FENa,【フィーナ】ナトリウム排泄分画,Franctional Excretion of sodium
FES,【フェス】機能的電気刺激,Functional Electrical Stimulation
FEV,【フェブ】努力性呼気肺活量,Forced Expiratory Volume
FEV1.0,【フェブワン】（努力性呼気肺活量の）1秒量,one second Forced Expiratory Volume
FEV1.0%,【フェブワンパーセント】（努力性呼気肺活量の）1秒率,percent of one second Forced Expiretory volume
FEVR,家族性滲出性硝子体網膜症,Familial Exudative Vitreoretinopathy
FF,濾過比,Filtration Franction
F-F,大腿・大腿動脈バイパス,Femoro-Femoral(bypass)
FFA,遊離脂肪酸,Free Fatty Acid
F-factor,【エフファクター】F因子,Fertility-factor
FFP,新鮮凍結血漿,Fresh Frozen Plasma
FGN,巣状糸球体腎炎,Focal Glomerulonephritis
FGS,胃ファイバースコープ,Fiber Gastroscope
FH,家族性高コレステロール血症,Familial HyperCholesterolemia
FHB,胎児心拍,Fetal Heart Beat
FHM,胎児心拍動,Fetal Heart Movement
FHR,胎児心拍数,Fetal Heart Rate
FHS、FHT,胎児心音,Fetal Heart Sound(tone)
FI,色素指数,
Final Dx,最終診断,Final Diagnosis
FIo2,吸入気酸素濃度,Fractional Concentration of Inspiratory Gas
FIV,努力吸気肺活量,Forced Inspiratory Volume
FJO,機能的顎矯正法,Functional Jaw Orthopedics
FL,前頭葉,Frontal Lobe
fl,屈曲,Flexion
FLCZ,フルコナゾール,Fluconazole
FLD,線維化性肺疾患,Fibrosing Lung Disease
FLP,前頭左側後位（胎位）,Frontolaeva Posterior(Position )
FLRX,フレロキサシン,Fleroxacin
FLT,前頭左側横位（体位）,Frontolaeva Transversa(Position)
FM,機能性心雑音,Functional Murmur
FMOX,フロモキセフ,Flomoxef
FN,顔面神経,Facial Nerve
F-N,指鼻（試験）,Finger-to-Nose(test)
FNAB,細針吸引生検,Fine Needle Aspiration Biopsy
FNAC,細針吸引細胞診,Fine Needle Aspiration Cytology
FO,眼底,
FOD,児頭前後径,Fronto-Occipital
FOM,ホスホマイシン,Fosfomycin
FP,顔面神経麻痺,Facial Palsy
FPCG,胎児心電図,Fetal Phonocardiogram
FPD,胎児骨盤不均衡,Fetoplacental Disproportion
FPG,空腹時血漿ブドウ糖（値）,Fasting Plasma Glucose
FPLN,巣状増殖性ループス腎炎,Focal Proliferative Lupus Nephritis
FR,流量,Flow Rate
Fr,骨折,Fracture
FRA,機能的残気,Functional Residual Air
FRC,機能的残気量,Functional Residual Capacity
FRF,卵胞刺激ホルモン放出因子,Follicle-Stimulating Hormone-Releasing Factor
FRH,卵胞刺激ホルモン放出ホルモン,Follicle-Stimulating Hormone-Releasing Hormone
FRJM,関節運動の最大域,Full Range of Joint Movement
FRM,フラジオマイシン,Fradiomycin
FRN,胎児性横紋筋腫型腎芽腫,Fetal Rhabdomyomatous Nephroblastoma
FRP,機能的不応期,Functional Refractory Period
FS,顔面痙攣,Facial Spasm
FSGS,巣状分節上糸球体硬化症,Focal Segmental Glomerulosclerosis
FSH,顔面肩甲上腕型筋ジストロフィー,Facioscapulohumeral Muscular Dystrophy
FSH-RF,卵胞刺激ホルモン放出因子,Follicle-Stimulating Hormone Releasing Factor
FSH-RH,卵胞刺激ホルモン放出ホルモン,Follicle-Stimulating Hormone Releasing Hormone
FSP,家族性痙性対麻痺,Familial Spastic Paraplegia
FT,機能テスト,Functional Test
FTD,胎児胸郭横径,Fetothoracic Diameter
FTND,満期正常産,Full Term and Nomal Delivery
FTNVD,満期正常経膣分娩,Full Term Nomal Vaginal Delivery
F to N,指鼻（試験）,Finger-to-Nose(test)
FTRC,解凍ヒト赤血球（濃厚液）,Frozen Thawed Red Cells
FTSG,全層皮膚移植（片）,Full Thickness Skin Graft
f/u,経過観察,Follow-Up
FUO,不明熱,Fever of Unknown Origin
FV,大腿静脈,Femoral Vein
FVC,努力性肺活量,Forced Vital Capacity
FWB,全荷重負荷,Full Weight Bearing
Fx,骨折,Fracture
γ-GTP,γ-グルタミントランスペプチダーゼ,gamma-Glutamyl Transpeptidase
G,ガストリン,Gastrin
GA,胃液検査,Gastric Analysis
GB,胆嚢,Gall Bladder
Gb,血液比重,specific Gravity of Blood
GBK,【ゲーベーカー】胆嚢癌,Gallenblasen Karzinom（独）
GBM,糸球体基底膜,Glomerular Basement membrane
GBS,ギラン・バレー症候群,Guillain-Barre Syndrome
GC,糖質コルチコイド,Glucocorticoid
GCA,巨細胞動脈炎,Giant Cell Arteritis
GCP,ポリープ状嚢胞性胃炎,Gastritis Cystica Polyposa（ラ）
GCS,グラスゴーコーマスケール,Glasgow Coma Scale
GCT,顆粒細胞腫,Granular Cell Tumor
GCV,ガンシクロビル,Ganciclovir
GDA,胃十二指腸動脈,Gastroduodenal Artery
GDM,妊娠糖尿病,Gestational Diabetes Mellitus
GE,胃腸炎,Gastroenteritis
GEA,胃大網動脈,Gstro-Epiploic Artery
gen,全身の、一般の,general
GEP,【ジェップ】胃・腸・膵内分泌系,Gastro-Entero-Pancreatic endocrine system
GER,胃食道逆流,Gastroesophageal Reflux
GF,糸球体濾過,Glomerular filtration
GFS,胃ファイバースコープ,Gastro-Fiberscope
GH,成長ホルモン,Growth Hormone
GI,胃腸管の,Gastrointestinal
GIFT,配偶子卵管内移植,Gamete Intrafallopian Transfer
GIK,グルコース・インスリン・塩化カリウム（混合液）,Glucose、insulin、kalium chloride
GIP,巨細胞性間質性肺炎,Giant cell Interstitial Pneumonia
GIS,胃腸管の,Gastrointestinal Series
GIT,消化管,Gastrointestinal Tract
GL,緑内障,Glaucoma
Glu,【グル】ブドウ糖,Glucose
GM,ゲンタマイシン,Gentamicin
GN,糸球体腎炎,Glomerulonephritis
Gn,ゴナドトロピン,Gonadotropin
GNB,グラム陰性桿菌,Gram-Negative Bacillus
GNC,グラム陰性球菌,Gram-Negative Coccus
GNR,グラム陰性桿菌,Gram-Negative Rod
GO,笑気・酸素（麻酔）,Gas Oxygen
GOE,【ゴエ】笑気・酸素・エーテル（麻酔）,Gas-Oxygen-Ether
GOF,笑気・酸素・フローセン（麻酔）,Gas-Oxygen-Fluothane
GOS,【ゴス】グラスゴーアウトカムスケール,Glasgow Outcome Scale
GP,進行性麻痺,General Paresis
GPB,グラム陽性桿菌,Gram-Positive Bacillus
GPC,胃壁細胞,Gastric Parietal Cell
GPI,精神病性進行麻痺,General Paralysis　of the Insae
GPR,グラム陽性桿菌,Gram-Positive Rod
grav,妊娠の,gravid
GRH,糖質コルチコイド反応性アルドステロン症,Glucocorticoid Reactive Hyperaldosteronism
GS,胎嚢,Gestational Sac
GSD,糖原病、グリコーゲン蓄積症,Glycogen Storage Disease
GSI,真性腹圧性尿失禁,Genuine Stress Incontinence
GT,胃チューブ,Gastric Tube
GTC、GTCS,全身性強直性間代発作,Generalized Tonicclonic Seizure
GTD,妊娠性絨毛性疾患,Gestational Trophoblastic Disease
GTT,ブドウ糖負荷試験,Glucose Tolerance Test
GU,胃潰瘍,Gastric Ulcer
GVH,対宿主移植片,Graft Versus Host
GVHD,移植片対宿主病、GVH病,Graft Versus Host　Disease
GVHR,移植片対宿主反応,Graft Versus Host Reaction
ＧＶＬ,移植片対白血病（反応）,Graft Versus Leukemia(reaction)
Gvty,歯肉切除術,Gingivectomy
Ｇｙ,【グレイ】グレイ（吸収線量の単位）,Gray
GYN、Gyn,【ギネ】婦人科,Gynecology
H,H抗原、鞭毛抗原,Hauch(breath)flagellar(antigen)
H0～3,肉眼的肝転移の程度を示す記号,
H0、s、1～4,原発性肝癌の存在範囲を示す記号,
H1、H2,ヒスタミンレセプター,Histamine Receptor
H、Ha,【ハルン】尿,Harn（独）
h,時間,Hour
HA,A型肝炎,Hepatitis A
HAA,肝炎関連抗原,Hepatitis Associated Antigen
HA-Aｇ,A型肝炎抗原,Hepatitis A　Antigen
HAAP,【ハープ】ヒトＴ細胞白血病ウイルスＩ型（HTLV-I）関連関節疾患,HTLV-I　Associated Arthropathy
HAB,【ハブ】ヒトT細胞白血病ウイルスI型（HTLV-I）関連気管支肺疾患,HTLV-I　Associated Bronchopneumonopathy
HABA,【ハバ】ヒトT細胞白血病ウイルスI型（HTLV-I）関連気管支肺胞疾患,HTLV-I　Associated Bronchoalveolar disorder
HAC,多動児,Hyper Active Children
HACE,【ヘイス】高地性脳浮腫,High Altitude Cerebral Edema
HAI,【ハイ】赤血球凝集抑制,Hemagglutination Inhibition
HAIR,【ヘア】赤血球凝集抑制反応,Hemagglutination Inhibition Reaction
